id,titre,description,service,date
RSJ-440-YI,chemical spill,Chemical spill in the laboratory,Manufacturing Solutions,2018/02/23
HCE-625-HC,slip and fall,Slip and fall accident in the hallway,Industrial Automation,2016/10/31
LYB-612-RY,equipment malfunction,Equipment malfunction during operation,Energy Efficiency Solutions,2022/05/07
ZGJ-286-DK,fire incident,Fire incident in the storage area,Facility Maintenance,2023/10/09
HAE-233-DH,equipment malfunction,Equipment malfunction during operation,Manufacturing Solutions,2021/03/27
JRK-774-ZP,injury,Employee altercation in the break room,Facility Maintenance,2021/07/01
GAZ-579-VD,fire incident,Fire incident in the storage area,Manufacturing Solutions,2019/04/06
RDN-824-SM,equipment malfunction,Equipment malfunction during operation,Energy Efficiency Solutions,2022/03/14
PHR-130-RO,injury,Employee altercation in the break room,Industrial Automation,2021/06/09
KPP-021-CY,chemical spill,Chemical spill in the laboratory,Manufacturing Solutions,2021/04/03
TLD-023-BA,equipment malfunction,Equipment malfunction during operation,Industrial Automation,2014/01/31
LRE-656-OL,fire incident,Fire incident in the storage area,Energy Efficiency Solutions,2018/05/28
IMM-665-KF,injury,Employee altercation in the break room,Logistics and Supply Chain,2020/05/31
LDR-825-PH,equipment malfunction,Equipment malfunction during operation,Logistics and Supply Chain,2016/07/28
XEX-782-HL,fire incident,Fire incident in the storage area,Industrial Automation,2016/03/04
XNJ-677-EZ,equipment malfunction,Equipment malfunction during operation,Facility Maintenance,2017/08/29
CWA-083-RU,chemical spill,Chemical spill in the laboratory,Logistics and Supply Chain,2017/08/25
QSN-232-QA,equipment malfunction,Equipment malfunction during operation,Facility Maintenance,2016/10/11
ETB-795-ST,slip and fall,Slip and fall accident in the hallway,Energy Efficiency Solutions,2019/10/24
XHC-870-TE,fire incident,Fire incident in the storage area,Manufacturing Solutions,2014/03/05
MJK-842-FE,injury,Employee altercation in the break room,Industrial Automation,2015/09/24
RDP-379-KR,fire incident,Fire incident in the storage area,Logistics and Supply Chain,2017/04/23
GKR-487-JO,fire incident,Fire incident in the storage area,Facility Maintenance,2019/02/18
CWI-075-QY,fire incident,Fire incident in the storage area,Industrial Automation,2021/03/04
NOR-581-VL,injury,Employee altercation in the break room,Energy Efficiency Solutions,2015/12/02
QBF-469-PK,chemical spill,Chemical spill in the laboratory,Energy Efficiency Solutions,2016/06/07
RQD-294-SH,slip and fall,Slip and fall accident in the hallway,Manufacturing Solutions,2022/07/03
ABX-249-AA,chemical spill,Chemical spill in the laboratory,Industrial Automation,2018/11/20
HVB-097-KB,equipment malfunction,Equipment malfunction during operation,Energy Efficiency Solutions,2021/06/26
LYX-678-XB,equipment malfunction,Equipment malfunction during operation,Manufacturing Solutions,2020/05/18
VIE-313-AD,fire incident,Fire incident in the storage area,Logistics and Supply Chain,2021/02/03
VPD-769-BU,slip and fall,Slip and fall accident in the hallway,Energy Efficiency Solutions,2022/01/10
LHT-728-AF,chemical spill,Chemical spill in the laboratory,Logistics and Supply Chain,2018/01/15
DFF-611-JZ,equipment malfunction,Equipment malfunction during operation,Logistics and Supply Chain,2022/10/23
HSU-514-LA,equipment malfunction,Equipment malfunction during operation,Manufacturing Solutions,2016/01/18
PJY-738-UB,chemical spill,Chemical spill in the laboratory,Manufacturing Solutions,2016/10/30
QNW-724-IO,injury,Employee altercation in the break room,Manufacturing Solutions,2018/09/28
LNF-761-PN,injury,Employee altercation in the break room,Industrial Automation,2016/05/15
DRL-201-OI,equipment malfunction,Equipment malfunction during operation,Energy Efficiency Solutions,2019/07/25
DQV-482-DT,equipment malfunction,Equipment malfunction during operation,Manufacturing Solutions,2018/03/14
GKQ-330-OO,injury,Employee altercation in the break room,Logistics and Supply Chain,2018/08/09
SMG-600-AT,chemical spill,Chemical spill in the laboratory,Energy Efficiency Solutions,2022/02/25
BFG-817-VY,equipment malfunction,Equipment malfunction during operation,Manufacturing Solutions,2013/12/19
UFW-937-GT,slip and fall,Slip and fall accident in the hallway,Logistics and Supply Chain,2021/07/02
OHI-621-RX,slip and fall,Slip and fall accident in the hallway,Facility Maintenance,2017/06/26
JKQ-637-DP,chemical spill,Chemical spill in the laboratory,Industrial Automation,2014/08/01
TEM-377-XC,chemical spill,Chemical spill in the laboratory,Logistics and Supply Chain,2018/04/28
KLI-062-KI,fire incident,Fire incident in the storage area,Industrial Automation,2023/05/13
FYM-714-KV,equipment malfunction,Equipment malfunction during operation,Facility Maintenance,2014/12/31
MFO-681-JX,fire incident,Fire incident in the storage area,Logistics and Supply Chain,2019/03/12
ZTU-075-KD,injury,Employee altercation in the break room,Facility Maintenance,2023/02/23
YNX-024-YP,injury,Employee altercation in the break room,Facility Maintenance,2015/11/19
YEZ-828-VZ,chemical spill,Chemical spill in the laboratory,Facility Maintenance,2016/07/24
ALB-918-YB,injury,Employee altercation in the break room,Logistics and Supply Chain,2020/03/20
WTJ-561-RF,equipment malfunction,Equipment malfunction during operation,Facility Maintenance,2023/03/16
WAC-579-BU,equipment malfunction,Equipment malfunction during operation,Energy Efficiency Solutions,2022/05/04
KAE-743-SI,injury,Employee altercation in the break room,Energy Efficiency Solutions,2023/08/14
XEP-158-MH,chemical spill,Chemical spill in the laboratory,Industrial Automation,2021/08/08
EII-049-MX,fire incident,Fire incident in the storage area,Manufacturing Solutions,2017/09/23
JZX-945-WL,injury,Employee altercation in the break room,Energy Efficiency Solutions,2014/09/16
